YeshuvName,MunicipalName,total
מחסיה ,מועצה אזורית מטה יהודה ,521
נחשון ,מועצה אזורית מטה יהודה ,730
תרום ,מועצה אזורית מטה יהודה ,965
עמינדב ,מועצה אזורית מטה יהודה ,869
אורה ,מועצה אזורית מטה יהודה ,1256
אבן ספיר ,מועצה אזורית מטה יהודה ,711
בית נחמיה ,מועצה אזורית חבל מודיעין ,901
אחיהוד ,מועצה אזורית מטה אשר ,1088
כפר זיתים ,מועצה אזורית הגליל התחתון ,773
גבעת יערים ,מועצה אזורית מטה יהודה ,1236
זיתן ,מועצה אזורית שדות דן ,1091
רנן ,מועצה אזורית מרחבים ,693
משען ,מועצה אזורית חוף אשקלון ,1001
נתיב השיירה ,מועצה אזורית מטה אשר ,512
גבעתי ,מועצה אזורית באר טוביה ,1034
עגור ,מועצה אזורית מטה יהודה ,496
יערה ,מועצה אזורית מעלה יוסף ,952
צלפון ,מועצה אזורית מטה יהודה ,1035
אחיעזר ,מועצה אזורית שדות דן ,2106
יגל ,מועצה אזורית שדות דן ,909
זכריה ,מועצה אזורית מטה יהודה ,1062
בית חנניה ,מועצה אזורית חוף הכרמל ,879
חמד ,מועצה אזורית שדות דן ,1251
"גבעת כ""ח ",מועצה אזורית חבל מודיעין ,1006
יושיביה ,מועצה אזורית שדות נגב ,767
אחיסמך ,מועצה אזורית חבל מודיעין ,1287
ישעי ,מועצה אזורית מטה יהודה ,905
עין יהב ,מועצה אזורית הערבה התיכונה ,984
חניאל ,מועצה אזורית עמק חפר ,928
ניר אליהו ,מועצה אזורית דרום השרון ,682
נחם ,מועצה אזורית מטה יהודה ,627
עופר ,מועצה אזורית חוף הכרמל ,587
יכיני ,מועצה אזורית שער הנגב ,806
שלומי , ,8553
עין יעקב ,מועצה אזורית מעלה יוסף ,1269
תלמים ,מועצה אזורית לכיש ,886
זבדיאל ,מועצה אזורית שפיר ,799
זנוח ,מועצה אזורית מטה יהודה ,531
עזריקם ,מועצה אזורית באר טוביה ,1437
זרחיה ,מועצה אזורית שפיר ,809
אביגדור ,מועצה אזורית באר טוביה ,912
חלץ ,מועצה אזורית חוף אשקלון ,564
אחוזם ,מועצה אזורית לכיש ,548
מטע ,מועצה אזורית מטה יהודה ,876
בר גיורא ,מועצה אזורית מטה יהודה ,730
כוכב מיכאל ,מועצה אזורית חוף אשקלון ,1204
נס הרים ,מועצה אזורית מטה יהודה ,1433
עוזה ,מועצה אזורית שפיר ,415
נווה מבטח ,מועצה אזורית באר טוביה ,676
ישרש ,מועצה אזורית גזר ,1058
מבטחים ,מועצה אזורית אשכול ,586
ירוחם , ,12748
נורית ,מועצה אזורית הגלבוע,317
גנות ,מועצה אזורית שדות דן ,505
עזריאל ,מועצה אזורית לב השרון ,944
פדיה ,מועצה אזורית גזר ,805
פתחיה ,מועצה אזורית גזר ,900
כיסופים ,מועצה אזורית אשכול ,411
אלישמע ,מועצה אזורית דרום השרון ,1135
געש ,מועצה אזורית חוף השרון ,1089
מרגליות ,מועצה אזורית מבואות החרמון ,467
נחל עוז ,מועצה אזורית שער הנגב ,563
כפר עזה ,מועצה אזורית שער הנגב ,1071
שפר ,מועצה אזורית מרום הגליל ,523
בית רבן ,מועצה אזורית חבל יבנה ,466
דביר ,מועצה אזורית בני שמעון ,1218
אחיטוב ,מועצה אזורית עמק חפר ,1049
ניצני עוז ,מועצה אזורית לב השרון ,1096
גונן ,מועצה אזורית הגליל העליון ,520
גאליה ,מועצה אזורית גן רווה ,1132
רחוב ,מועצה אזורית עמק המעיינות ,521
שעלבים ,מועצה אזורית גזר ,1537
כפר אביב ,מועצה אזורית גדרות ,811
נווה ירק ,מועצה אזורית דרום השרון ,1244
כסלון ,מועצה אזורית מטה יהודה ,431
שדה אליעזר ,מועצה אזורית מבואות החרמון ,1013
גני יוחנן ,מועצה אזורית גזר ,694
גינתון ,מועצה אזורית חבל מודיעין ,941
בקוע ,מועצה אזורית מטה יהודה ,914
שיבולים ,מועצה אזורית שדות נגב ,426
יטבתה ,מועצה אזורית חבל אילות ,996
אלוני יצחק ,מועצה אזורית מנשה ,172
גבעת השלושה ,מועצה אזורית דרום השרון ,780
עינת ,מועצה אזורית דרום השרון ,946
גאולי תימן ,מועצה אזורית עמק חפר ,407
שלווה ,מועצה אזורית שפיר ,690
מגדל העמק , ,32067
בית חירות ,מועצה אזורית עמק חפר ,941
עין שריד ,מועצה אזורית לב השרון ,1574
אורנים ,מועצה אזורית זבולון ,6
שדה בוקר ,מועצה אזורית רמת נגב ,632
איתנים ,מועצה אזורית מטה יהודה ,3
"כפר הרי""ף ",מועצה אזורית יואב ,884
כפר חסידים ב' ,מועצה אזורית זבולון ,282
כפר הנוער הדתי ,מועצה אזורית זבולון ,59
עבדון ,מועצה אזורית מעלה יוסף ,765
מדרשת רופין ,מועצה אזורית עמק חפר ,9
שבלי - אום אל-גנם , ,7074
ישע ,מועצה אזורית אשכול ,467
עצמון שגב ,מועצה אזורית משגב ,1470
גבעת ישעיהו ,מועצה אזורית מטה יהודה ,744
שער מועצה אזורית מנשה ,מועצה אזורית מנשה ,117
רכסים , ,15475
נווה אבות , ,14
אבו עמרה )שבט( , ,20
אבו סריחאן )שבט( , ,28
מסעודין אל-עזאזמה , ,21228
סואעד )חמירה( ,מועצה אזורית עמק יזרעאל ,292
בסמת טבעון , ,8524
חוג'ייראת )ד'הרה( ,מועצה אזורית משגב ,27
הוזייל )שבט( , ,1707
עוקבי )בנו עוקבה( , ,678
אבו עבדון )שבט( , ,296
אפיניש )שבט( , ,114
אסד )שבט( , ,1225
אבו רוקייק )שבט( , ,11684
טובא-זנגריה , ,7401
אעצם )שבט( , ,12921
קודייראת א-צאנע)שבט( , ,2651
אטרש )שבט( , ,3480
אבו רובייעה )שבט( , ,10285
אבו ג'ווייעד )שבט( , ,5594
אבו קורינאת )שבט( , ,7718
עטאוונה )שבט( , ,152
תראבין א-צאנע )שבט( , ,1125
קוואעין )שבט( , ,1107
זרזיר , ,9439
ג'נאביב )שבט( , ,1727
כעביה-טבאש-חג'אג'רה , ,6632
ח'ואלד )שבט( ,מועצה אזורית זבולון ,100
סואעד )כמאנה( )שבט( , ,31
ראס עלי ,מועצה אזורית זבולון ,760
חמאם ,מועצה אזורית אל-בטוף ,1762
מנשית זבדה ,מועצה אזורית עמק יזרעאל ,1663
רומת הייב ,מועצה אזורית אל-בטוף ,2465
ביר אל-מכסור , ,11296
מבשרת ציון , ,29361
אור עקיבא , ,27901
חרוצים ,מועצה אזורית חוף השרון ,848
שדרות , ,40388
קרית מלאכי , ,30000
נצאצרה )שבט( , ,425
אבו עמאר )שבט( , ,93
גיזו ,מועצה אזורית מטה יהודה ,212
יעף ,מועצה אזורית לב השרון ,280
שתולה ,מועצה אזורית מעלה יוסף ,355
אוהד ,מועצה אזורית אשכול ,411
חזון ,מועצה אזורית מרום הגליל ,389
בית חשמונאי ,מועצה אזורית גזר ,2304
תלמי אליהו ,מועצה אזורית אשכול ,315
קטורה ,מועצה אזורית חבל אילות ,658
עין חצבה ,מועצה אזורית תמר ,59
תל שבע , ,24516
"עין כרם-בי""ס חקלאי ",מועצה אזורית מטה יהודה ,22
נווה זוהר ,מועצה אזורית תמר ,67
שדה ניצן ,מועצה אזורית אשכול ,566
כסיפה , ,22407
לקיה , ,19488
נוף הגליל , ,56144
מעלות-תרשיחא , ,26196
אמירים ,מועצה אזורית מרום הגליל ,913
זמרת ,מועצה אזורית שדות נגב ,775
"בני עי""ש ", ,7214
"דוב""ב ",מועצה אזורית מרום הגליל ,508
אדמית ,מועצה אזורית מטה אשר ,547
רם-און ,מועצה אזורית הגלבוע,954
אביעזר ,מועצה אזורית מטה יהודה ,930
נווה מיכאל ,מועצה אזורית מטה יהודה ,826
גן הדרום ,מועצה אזורית גדרות ,523
בית ברל ,מועצה אזורית דרום השרון ,55
גבעת מועצה אזורית שפירא ,מועצה אזורית עמק חפר ,328
צפרירים ,מועצה אזורית מטה יהודה ,446
מבועים ,מועצה אזורית מרחבים ,1250
אבן מנחם ,מועצה אזורית מעלה יוסף ,406
מעגלים ,מועצה אזורית שדות נגב ,1528
תושיה ,מועצה אזורית שדות נגב ,626
בן שמן )כפר נוער( ,מועצה אזורית חבל מודיעין ,251
כרם שלום ,מועצה אזורית אשכול ,296
כרם ביבנה )ישיבה( ,מועצה אזורית חבל יבנה ,277
כפר מימון ,מועצה אזורית שדות נגב ,824
מרכז מועצה אזורית שפירא ,מועצה אזורית שפיר ,3339
צוקי ים ,מועצה אזורית עמק חפר ,273
גני הדר ,מועצה אזורית גזר ,428
פוריה - כפר עבודה ,מועצה אזורית עמק הירדן ,425
פוריה - נווה עובד ,מועצה אזורית עמק הירדן ,1706
אומן ,מועצה אזורית הגלבוע,946
חבר ,מועצה אזורית הגלבוע,1050
יודפת ,מועצה אזורית משגב ,1085
צור הדסה , ,10977
שריגים )לי-און( ,מועצה אזורית מטה יהודה ,1134
אביבים ,מועצה אזורית מרום הגליל ,571
יעל ,מועצה אזורית הגלבוע,29
אדרת ,מועצה אזורית מטה יהודה ,940
נאות הכיכר ,מועצה אזורית תמר ,324
אלמגור ,מועצה אזורית עמק הירדן ,490
אילות ,מועצה אזורית חבל אילות ,406
מעלה גלבוע ,מועצה אזורית עמק המעיינות ,917
מי עמי ,מועצה אזורית מנשה ,434
גרופית ,מועצה אזורית חבל אילות ,393
כפר רוזנואלד )זרעית( ,מועצה אזורית מעלה יוסף ,355
שניר ,מועצה אזורית הגליל העליון ,764
ורדון ,מועצה אזורית יואב ,307
יד השמונה ,מועצה אזורית מטה יהודה ,322
צוחר ,מועצה אזורית אשכול ,615
קרית יערים , ,7894
יעד ,מועצה אזורית משגב ,932
כרמיאל , ,55504
מדרשת בן גוריון ,מועצה אזורית רמת נגב ,1898
מבוא מודיעים ,מועצה אזורית חבל מודיעין ,224
נס עמים ,מועצה אזורית מטה אשר ,479
אלומה ,מועצה אזורית שפיר ,1691
עלומים ,מועצה אזורית שדות נגב ,550
נטועה ,מועצה אזורית מעלה יוסף ,367
צור נתן ,מועצה אזורית דרום השרון ,319
עזר ,מועצה אזורית באר טוביה ,736
צופר ,מועצה אזורית הערבה התיכונה ,561
פארן ,מועצה אזורית הערבה התיכונה ,659
אשלים ,מועצה אזורית רמת נגב ,780
כישור ,מועצה אזורית משגב ,150
מיטל ,מועצה אזורית עמק המעיינות ,89
מגן שאול ,מועצה אזורית הגלבוע,830
סמר ,מועצה אזורית חבל אילות ,283
אחווה ,מועצה אזורית באר טוביה ,182
יהל ,מועצה אזורית חבל אילות ,401
שכניה ,מועצה אזורית משגב ,828
רהט , ,82337
בית רימון ,מועצה אזורית הגליל התחתון ,1321
מורן ,מועצה אזורית משגב ,525
שילת ,מועצה אזורית חבל מודיעין ,844
כפר רות ,מועצה אזורית חבל מודיעין ,275
קיסריה ,מועצה אזורית חוף הכרמל ,7669
הוואשלה )שבט( , ,2182
סייד )שבט( , ,1803
לוטם ,מועצה אזורית משגב ,822
תובל ,מועצה אזורית משגב ,504
לפידות ,מועצה אזורית מעלה יוסף ,144
מנוף ,מועצה אזורית משגב ,924
עידן ,מועצה אזורית הערבה התיכונה ,537
ספיר ,מועצה אזורית הערבה התיכונה ,612
טללים ,מועצה אזורית רמת נגב ,682
מורשת ,מועצה אזורית משגב ,1858
קורנית ,מועצה אזורית משגב ,998
צביה ,מועצה אזורית משגב ,341
טל-אל ,מועצה אזורית משגב ,1456
אלון הגליל ,מועצה אזורית עמק יזרעאל ,1238
כליל ,מועצה אזורית מטה אשר ,1082
מתת ,מועצה אזורית מעלה יוסף ,251
פלך ,מועצה אזורית משגב ,250
הושעיה ,מועצה אזורית עמק יזרעאל ,2158
עיר אובות ,מועצה אזורית הערבה התיכונה ,65
אשחר ,מועצה אזורית משגב ,1154
מצפה נטופה ,מועצה אזורית הגליל התחתון ,1227
בר יוחאי ,מועצה אזורית מרום הגליל ,1249
ערערה-בנגב , ,22240
ניצנה )קהילת חינוך( ,מועצה אזורית רמת נגב ,304
מחנה יתיר , ,335
נאות סמדר ,מועצה אזורית חבל אילות ,247
כרמים ,מועצה אזורית בני שמעון ,548
עדי ,מועצה אזורית עמק יזרעאל ,1964
מודיעין-מכבים-רעות , ,111119
כמון ,מועצה אזורית משגב ,878
מכמנים ,מועצה אזורית משגב ,673
הררית ,מועצה אזורית משגב ,745
גילון ,מועצה אזורית משגב ,1270
מנות ,מועצה אזורית מעלה יוסף ,637
גיתה ,מועצה אזורית מעלה יוסף ,297
לבון ,מועצה אזורית משגב ,934
הילה ,מועצה אזורית מעלה יוסף ,612
חרשים ,מועצה אזורית משגב ,394
כחל ,מועצה אזורית מבואות החרמון ,565
קדרים ,מועצה אזורית הגליל העליון ,400
עמוקה ,מועצה אזורית מרום הגליל ,194
צבעון ,מועצה אזורית הגליל העליון ,472
טפחות ,מועצה אזורית מרום הגליל ,457
גורנות הגליל ,מועצה אזורית מעלה יוסף ,343
אבירים ,מועצה אזורית מעלה יוסף ,388
צורית ,מועצה אזורית משגב ,1037
"מצפה אבי""ב ",מועצה אזורית משגב ,1156
שדי אברהם ,מועצה אזורית אשכול ,401
כוכב יאיר-צור יגאל , ,10453
רביד ,מועצה אזורית עמק הירדן ,127
יובלים ,מועצה אזורית משגב ,1373
יתד ,מועצה אזורית אשכול ,661
רקפת ,מועצה אזורית משגב ,1087
כלנית ,מועצה אזורית מרום הגליל ,304
לבנים ,מועצה אזורית מרום הגליל ,582
פרי גן ,מועצה אזורית אשכול ,266
יבול ,מועצה אזורית אשכול ,400
שקף ,מועצה אזורית לכיש ,612
קבועה )שבט( , ,1424
שורשים ,מועצה אזורית משגב ,748
נירית ,מועצה אזורית דרום השרון ,1080
תלמי יוסף ,מועצה אזורית אשכול ,383
סופה ,מועצה אזורית אשכול ,275
חולית ,מועצה אזורית אשכול ,219
עין הבשור ,מועצה אזורית אשכול ,1189
דקל ,מועצה אזורית אשכול ,432
נתיב העשרה ,מועצה אזורית חוף אשקלון ,1157
קציר ,מועצה אזורית מנשה ,3177
מועצה אזורית תמרת ,מועצה אזורית עמק יזרעאל ,1751
סלמה ,מועצה אזורית משגב ,4016
עראמשה ,מועצה אזורית מטה אשר ,1720
חריש , ,41363
אליפז ,מועצה אזורית חבל אילות ,220
הרדוף ,מועצה אזורית עמק יזרעאל ,717
עין מועצה אזורית תמר ,מועצה אזורית תמר ,230
כורזים ,מועצה אזורית מבואות החרמון ,501
אמנון ,מועצה אזורית מבואות החרמון ,547
נטף ,מועצה אזורית מטה יהודה ,605
לוטן ,מועצה אזורית חבל אילות ,275
אשרת ,מועצה אזורית מטה אשר ,672
חנתון ,מועצה אזורית עמק יזרעאל ,1021
מסד ,מועצה אזורית הגליל התחתון ,538
נווה שלום ,מועצה אזורית מטה יהודה ,424
רתמים ,מועצה אזורית רמת נגב ,917
הר עמשא ,מועצה אזורית תמר ,284
צוקים ,מועצה אזורית הערבה התיכונה ,450
כפר ורדים , ,6247
כרמי יוסף ,מועצה אזורית גזר ,1991
שומריה ,מועצה אזורית בני שמעון ,871
שחרות ,מועצה אזורית חבל אילות ,173
שיטים ,מועצה אזורית חבל אילות ,6
מיתר , ,12702
להבים , ,7906
חלוץ ,מועצה אזורית משגב ,653
גן נר ,מועצה אזורית הגלבוע,2794
אבטליון ,מועצה אזורית משגב ,503
אשבל ,מועצה אזורית משגב ,149
באר מילכה ,מועצה אזורית רמת נגב ,236
נווה חריף ,מועצה אזורית חבל אילות ,115
ניצני סיני ,מועצה אזורית רמת נגב ,385
מירב ,מועצה אזורית עמק המעיינות ,907
תל תאומים ,מועצה אזורית עמק המעיינות ,678
נופית ,מועצה אזורית זבולון ,2567
כרכום ,מועצה אזורית מבואות החרמון ,495
שגב-שלום , ,14129
שני ,מועצה אזורית הר חברון ,547
גבעת אלה ,מועצה אזורית עמק יזרעאל ,2099
זמר , ,8262
כמהין ,מועצה אזורית רמת נגב ,268
ג'דיידה-מכר , ,21969
גבעת אבני ,מועצה אזורית הגליל התחתון ,2317
אור הגנוז ,מועצה אזורית מרום הגליל ,678
יאנוח-ג'ת , ,7182
כסרא-סמיע , ,9828
כפר חנניה ,מועצה אזורית מרום הגליל ,791
אתגר ,מועצה אזורית משגב ,33
חורה , ,22890
שוהם , ,25023
אלעד , ,51177
לפיד ,מועצה אזורית חבל מודיעין ,2249
אבשלום ,מועצה אזורית אשכול ,481
פוריה עילית ,מועצה אזורית עמק הירדן ,1490
נווה זיו ,מועצה אזורית מעלה יוסף ,1030
מתן ,מועצה אזורית דרום השרון ,3464
אל-עריאן ,מועצה אזורית מנשה ,201
דמיידה ,מועצה אזורית משגב ,617
מבואות ים ,מועצה אזורית עמק חפר ,74
בת חפר ,מועצה אזורית עמק חפר ,5477
עין חוד ,מועצה אזורית חוף הכרמל ,334
ח'ואלד ,מועצה אזורית זבולון ,787
הודיות ,מועצה אזורית הגליל התחתון ,60
בת הדר ,מועצה אזורית חוף אשקלון ,683
ארסוף ,מועצה אזורית חוף השרון ,258
כפר זוהרים ,מועצה אזורית מטה יהודה ,45
"בסמ""ה ", ,12472
מעלה עירון , ,16787
אחוזת ברק ,מועצה אזורית עמק יזרעאל ,2701
כמאנה ,מועצה אזורית משגב ,1743
חוסנייה ,מועצה אזורית משגב ,1003
נוף איילון ,מועצה אזורית גזר ,2140
ראס אל-עין ,מועצה אזורית משגב ,445
ערב אל נעים ,מועצה אזורית משגב ,945
אירוס ,מועצה אזורית גן רווה ,1096
שמשית ,מועצה אזורית עמק יזרעאל ,2468
כדיתה ,מועצה אזורית מרום הגליל ,221
אל-עזי ,מועצה אזורית יואב ,172
מרחב עם ,מועצה אזורית רמת נגב ,683
אבו קרינאת )יישוב( ,מועצה אזורית נווה מדבר ,1767
מכחול ,מועצה אזורית אל קסום ,1584
גבעות בר ,מועצה אזורית בני שמעון ,1328
צור יצחק ,מועצה אזורית דרום השרון ,7834
תראבין א-צאנע)ישוב( ,מועצה אזורית אל קסום ,1481
קצר א-סר ,מועצה אזורית נווה מדבר ,3255
ביר הדאג' ,מועצה אזורית נווה מדבר ,3673
דריג'את ,מועצה אזורית אל קסום ,1174
אום בטין ,מועצה אזורית אל קסום ,5456
אל סייד ,מועצה אזורית אל קסום ,4689
סעוה ,מועצה אזורית אל קסום ,2932
בת חן ,מועצה אזורית עמק חפר ,549
גבעות עדן ,מועצה אזורית מטה יהודה ,1006
בני נצרים ,מועצה אזורית אשכול ,1007
שלומית ,מועצה אזורית אשכול ,618
אליאב ,מועצה אזורית לכיש ,907
נווה ,מועצה אזורית אשכול ,1238
כחלה ,מועצה אזורית אל קסום ,518
בני דקלים ,מועצה אזורית לכיש ,1994
נטע ,מועצה אזורית לכיש ,1036
מצפה אילן ,מועצה אזורית מנשה ,868
גני טל ,מועצה אזורית נחל שורק ,1014
נצר חזני ,מועצה אזורית נחל שורק ,610
שלווה במדבר ,מועצה אזורית רמת נגב ,13
כרמי קטיף ,מועצה אזורית לכיש ,884
אבו תלול ,מועצה אזורית נווה מדבר ,3363
באר גנים ,מועצה אזורית חוף אשקלון ,2497
שבי דרום ,מועצה אזורית מרחבים ,735
שיזף ,מועצה אזורית רמת נגב ,160
מחנה הילה ,מועצה אזורית גן רווה ,275
מחנה תל נוף ,מועצה אזורית ברנר ,375
מחנה יהודית ,מועצה אזורית עמק יזרעאל ,254
מחנה מרים ,מועצה אזורית באר טוביה ,212
מחנה יפה ,מועצה אזורית מרחבים ,389
מחנה יוכבד ,מועצה אזורית חבל אילות ,254
מחנה טלי ,מועצה אזורית רמת נגב ,247
ניצן ב' ,מועצה אזורית חוף אשקלון ,496
תנובות ,מועצה אזורית לב השרון ,912
תלמי אלעזר ,מועצה אזורית מנשה ,1033
כנות ,מועצה אזורית באר טוביה ,65
שדה יצחק ,מועצה אזורית מנשה ,626
יובל ,מועצה אזורית מבואות החרמון ,787
כפר בן נון ,מועצה אזורית גזר ,829
ינון ,מועצה אזורית באר טוביה ,1181
אורות ,מועצה אזורית באר טוביה ,624
בן שמן )מושב( ,מועצה אזורית חבל מודיעין ,932
גבעולים ,מועצה אזורית שדות נגב ,542
שדי חמד ,מועצה אזורית דרום השרון ,1072
רוויה ,מועצה אזורית עמק המעיינות ,380
גבעת חיים )איחוד( ,מועצה אזורית עמק חפר ,1529
אשל הנשיא ,מועצה אזורית מרחבים ,132
להב ,מועצה אזורית בני שמעון ,836
אום אל-קוטוף ,מועצה אזורית מנשה ,1269
ירדנה ,מועצה אזורית עמק המעיינות ,462
מדרך עוז ,מועצה אזורית מגידו ,854
מנוחה ,מועצה אזורית לכיש ,655
בית חלקיה ,מועצה אזורית נחל שורק ,1080
חצור הגלילית , ,11450
עדנים ,מועצה אזורית דרום השרון ,446
ברקת ,מועצה אזורית חבל מודיעין ,2160
קרית יערים)מוסד( ,מועצה אזורית מטה יהודה ,48
עין גדי ,מועצה אזורית תמר ,597
בחן ,מועצה אזורית עמק חפר ,1175
מלילות ,מועצה אזורית שדות נגב ,464
נחלה ,מועצה אזורית יואב ,764
סגולה ,מועצה אזורית יואב ,614
ניר משה ,מועצה אזורית מרחבים ,570
ניר עקיבא ,מועצה אזורית מרחבים ,729
שדה צבי ,מועצה אזורית מרחבים ,777
"תלמי ביל""ו ",מועצה אזורית מרחבים ,549
רווחה ,מועצה אזורית שפיר ,630
אביטל ,מועצה אזורית הגלבוע,608
פרזון ,מועצה אזורית הגלבוע,444
מיטב ,מועצה אזורית הגלבוע,540
מאור ,מועצה אזורית מנשה ,1710
שדי תרומות ,מועצה אזורית עמק המעיינות ,610
"פעמי תש""ז ",מועצה אזורית מרחבים ,638
ברוש ,מועצה אזורית בני שמעון ,558
תדהר ,מועצה אזורית בני שמעון ,763
תאשור ,מועצה אזורית בני שמעון ,451
דישון ,מועצה אזורית מבואות החרמון ,419
זרועה ,מועצה אזורית שדות נגב ,582
טירת כרמל , ,33925
דימונה , ,43376
קרית טבעון , ,20850
אור יהודה , ,42253
נשר , ,25165
באר יעקב , ,38107
גדרה , ,31812
ערד , ,35311
אילת , ,70236
בית שמש , ,195287
קרית אונו , ,48899
קרית גת , ,78272
ראש העין , ,80116
רמת השרון , ,53650
יבנה , ,60316
אום אל-פחם , ,62061
טירה , ,29517
טייבה , ,48667
זבארגה )שבט( , ,17
קרית שמונה , ,25545
ירושלים , ,1105159
חברון , ,611
כפר עציון ,מועצה אזורית גוש עציון ,1106
בר כוכבא ,מועצה אזורית גוש עציון ,75
נתיב הגדוד ,מועצה אזורית ערבות הירדן ,245
אלמוג ,מועצה אזורית מגילות ים המלח ,348
קדומים , ,4849
תומר ,מועצה אזורית ערבות הירדן ,395
אלקנה , ,4677
מגדל עוז ,מועצה אזורית גוש עציון ,419
תקוע ,מועצה אזורית גוש עציון ,4986
כוכב השחר ,מועצה אזורית מטה בנימין ,2973
רימונים ,מועצה אזורית מטה בנימין ,723
יפית ,מועצה אזורית ערבות הירדן ,299
סלעית ,מועצה אזורית שומרון ,1626
ריחן ,מועצה אזורית שומרון ,526
מבוא דותן ,מועצה אזורית שומרון ,930
אריאל , ,22265
שבי מועצה אזורית שומרון ,מועצה אזורית שומרון ,1157
כפר תפוח ,מועצה אזורית שומרון ,1521
נוה צוף ,מועצה אזורית מטה בנימין ,1511
בית אל , ,6782
בית חורון ,מועצה אזורית מטה בנימין ,1416
מצפה יריחו ,מועצה אזורית מטה בנימין ,2855
שדמות מחולה ,מועצה אזורית ערבות הירדן ,871
אלון מורה ,מועצה אזורית שומרון ,2136
ארגמן ,מועצה אזורית ערבות הירדן ,186
מחולה ,מועצה אזורית ערבות הירדן ,842
קליה ,מועצה אזורית מגילות ים המלח ,566
ראש צורים ,מועצה אזורית גוש עציון ,1161
הר גילה ,מועצה אזורית גוש עציון ,1671
אלון שבות ,מועצה אזורית גוש עציון ,3563
משואה ,מועצה אזורית ערבות הירדן ,485
גלגל ,מועצה אזורית ערבות הירדן ,225
"ייט""ב ",מועצה אזורית ערבות הירדן ,285
מעלה אפרים , ,1951
חמרה ,מועצה אזורית ערבות הירדן ,286
מצפה שלם ,מועצה אזורית מגילות ים המלח ,229
קרית ארבע , ,8433
בקעות ,מועצה אזורית ערבות הירדן ,231
גיתית ,מועצה אזורית ערבות הירדן ,628
מכורה ,מועצה אזורית ערבות הירדן ,238
פצאל ,מועצה אזורית ערבות הירדן ,463
מעלה אדומים , ,40791
עופרה ,מועצה אזורית מטה בנימין ,3328
אלעזר ,מועצה אזורית גוש עציון ,2881
רועי ,מועצה אזורית ערבות הירדן ,165
נערן ,מועצה אזורית ערבות הירדן ,155
כפר אדומים ,מועצה אזורית מטה בנימין ,5270
ורד יריחו ,מועצה אזורית מגילות ים המלח ,417
קרני מועצה אזורית שומרון , ,11194
שילה ,מועצה אזורית מטה בנימין ,6216
חיננית ,מועצה אזורית שומרון ,2006
גבעון החדשה ,מועצה אזורית מטה בנימין ,1204
בית הערבה ,מועצה אזורית מגילות ים המלח ,413
חמדת ,מועצה אזורית ערבות הירדן ,397
יקיר ,מועצה אזורית שומרון ,2961
מתתיהו ,מועצה אזורית מטה בנימין ,984
שקד ,מועצה אזורית שומרון ,1194
אפרת , ,13498
מעלה מכמש ,מועצה אזורית מטה בנימין ,2281
בית אריה , ,6115
מעלה עמוס ,מועצה אזורית גוש עציון ,1534
ברקן ,מועצה אזורית שומרון ,2293
"ניל""י ",מועצה אזורית מטה בנימין ,2283
כרמל ,מועצה אזורית הר חברון ,693
מעון ,מועצה אזורית הר חברון ,776
עטרת ,מועצה אזורית מטה בנימין ,797
פסגות ,מועצה אזורית מטה בנימין ,2429
עמנואל , ,6352
מבוא חורון ,מועצה אזורית מטה בנימין ,2712
ברכה ,מועצה אזורית שומרון ,3388
שא-נור ,מועצה אזורית שומרון ,14
ענב ,מועצה אזורית שומרון ,1330
"נעמ""ה ",מועצה אזורית ערבות הירדן ,343
עלמון ,מועצה אזורית מטה בנימין ,1523
חרמש ,מועצה אזורית שומרון ,298
תלם ,מועצה אזורית הר חברון ,728
מועצה אזורית אשכולות ,מועצה אזורית הר חברון ,621
פני חבר ,מועצה אזורית הר חברון ,643
נגוהות ,מועצה אזורית הר חברון ,680
נווה דניאל ,מועצה אזורית גוש עציון ,2940
נוקדים ,מועצה אזורית גוש עציון ,3671
עלי זהב ,מועצה אזורית שומרון ,5751
גבעת זאב , ,25603
טנא ,מועצה אזורית הר חברון ,1193
ברוכין ,מועצה אזורית שומרון ,2817
בית יתיר ,מועצה אזורית הר חברון ,739
קרית נטפים ,מועצה אזורית שומרון ,1107
דולב ,מועצה אזורית מטה בנימין ,1669
עתניאל ,מועצה אזורית הר חברון ,968
יצהר ,מועצה אזורית שומרון ,2646
אלפי מועצה אזורית מנשה , ,8636
מגדלים ,מועצה אזורית שומרון ,879
מעלה לבונה ,מועצה אזורית מטה בנימין ,1047
אספר ,מועצה אזורית גוש עציון ,1589
סוסיה ,מועצה אזורית הר חברון ,1658
אדורה ,מועצה אזורית הר חברון ,627
אורנית , ,10209
אימועצה אזורית תמר ,מועצה אזורית שומרון ,1708
גבע בנימין ,מועצה אזורית מטה בנימין ,6518
חגי ,מועצה אזורית הר חברון ,916
עלי ,מועצה אזורית מטה בנימין ,4786
כרמי צור ,מועצה אזורית גוש עציון ,1121
נחליאל ,מועצה אזורית מטה בנימין ,1008
פדואל ,מועצה אזורית שומרון ,2293
הר אדר , ,4406
חשמונאים ,מועצה אזורית מטה בנימין ,2923
סנסנה ,מועצה אזורית הר חברון ,874
כוכב יעקב ,מועצה אזורית מטה בנימין ,3728
ביתר עילית , ,74720
קדר ,מועצה אזורית גוש עציון ,1631
רותם ,מועצה אזורית ערבות הירדן ,320
שמעה ,מועצה אזורית הר חברון ,1028
משכיות ,מועצה אזורית ערבות הירדן ,396
